Title,Year,Movie Duration,Rating,Poster,Plot Summary,Genres,Directors,Writers,Actors,Languages,Release Date,Release Country,Box Office,Production Companies
101. Birdman or (The Unexpected Virtue of Ignorance),2014,1h 59m,7.7,https://www.imdb.com/title/tt2562232/?ref_=sr_i_101,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.",,,,,,,,,
102. The Magnificent Seven,1960,2h 8m,7.7,https://www.imdb.com/title/tt0054047/?ref_=sr_i_102,Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.,,,,,,,,,
103. Another Round,2020,1h 57m,7.7,https://www.imdb.com/title/tt10288566/?ref_=sr_i_103,Four high-school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.,,,,,,,,,
104. Gattaca,1997,1h 46m,7.7,https://www.imdb.com/title/tt0119177/?ref_=sr_i_104,"Vincent, an ""In-Valid"", assumes the identity of a member of the genetic elite to pursue his goal of traveling into space with the Gattaca Aerospace Corporation. However, a week before his mission, a murder marks Vincent as a suspect.",,,,,,,,,
105. Who Framed Roger Rabbit,1988,1h 44m,7.7,https://www.imdb.com/title/tt0096438/?ref_=sr_i_105,"When a cartoon rabbit is accused of murder, he enlists the help of a burnt out private investigator to prove his innocence.",,,,,,,,,
106. Gravity,2013,1h 31m,7.7,https://www.imdb.com/title/tt1454468/?ref_=sr_i_106,"Dr Ryan Stone, an engineer on her first space mission, and Matt Kowalski, an astronaut on his final expedition, have to survive in space after they are hit by debris while spacewalking.",,,,,,,,,
107. The Theory of Everything,2014,2h 3m,7.7,https://www.imdb.com/title/tt2980516/?ref_=sr_i_107,Stephen Hawking gets unprecedented success in the field of physics despite being diagnosed with motor neuron disease at the age of 21. He defeats awful odds as his first wife Jane aids him loyally.,,,,,,,,,
108. Blazing Saddles,1974,1h 33m,7.7,https://www.imdb.com/title/tt0071230/?ref_=sr_i_108,"In order to ruin a western town and steal their land, a corrupt politician appoints a black sheriff, who promptly becomes his most formidable adversary.",,,,,,,,,
109. Naked,1993,2h 11m,7.7,https://www.imdb.com/title/tt0107653/?ref_=sr_i_109,An unemployed Mancunian vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey.,,,,,,,,,
110. The Conversation,1974,1h 53m,7.7,https://www.imdb.com/title/tt0071360/?ref_=sr_i_110,"A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered.",,,,,,,,,
111. Sound of Metal,2019,2h,7.7,https://www.imdb.com/title/tt5363618/?ref_=sr_i_111,"During a series of adrenaline-fueled gigs, itinerant punk-metal drummer Ruben begins to experience hearing loss. When a specialist tells him his condition will rapidly worsen, he thinks his music career - and with it his life - is over.",,,,,,,,,
112. The Promised Land,2023,2h 7m,7.7,https://www.imdb.com/title/tt20561198/?ref_=sr_i_112,"The story of Danish soldier and explorer Ludvig Kahlen, who explored and cultivated Denmark's wild Jutland, which now comprises the vast majority of the country, in the mid-18th century.",,,,,,,,,
113. The Bourne Supremacy,2004,1h 48m,7.7,https://www.imdb.com/title/tt0372183/?ref_=sr_i_113,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",,,,,,,,,
114. The Name of the Rose,1986,2h 10m,7.7,https://www.imdb.com/title/tt0091605/?ref_=sr_i_114,An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.,,,,,,,,,
